OrderID,Quantity,Cost
89-464-8624,3,225.00
13-698-5271,3,144.09
27-295-8802,3,101.60
58-064-3049,3,83.99
92-610-5614,3,144.09
55-734-7101,3,124.62
78-214-6816,3,133.17
43-918-0203,3,101.60
56-933-2115,3,125.00
64-569-9390,3,93.13
14-210-2413,3,235.00
92-282-7155,3,44.57
49-368-5121,3,69.38
12-718-1501,3,119.80
27-252-7456,3,133.17
52-071-2704,3,83.99
58-287-7773,3,210.00
42-108-7287,3,69.38
03-464-8128,3,220.00
90-122-2737,3,119.80
22-904-5860,3,125.00
40-107-4974,3,190.00
07-113-3748,3,235.00
46-301-6761,3,98.00
45-780-6744,3,310.00
75-714-6097,3,225.00
77-165-4390,3,220.00
69-624-5454,3,101.60
03-039-5845,3,310.00
09-058-1844,3,124.62
36-779-8330,3,91.84
28-608-5137,3,210.00
31-955-7364,3,225.00
89-464-8624,3,133.17
74-339-3540,3,93.13
17-708-5350,3,44.57
78-407-9810,3,190.00
96-049-6957,3,124.62
55-734-7101,3,119.80
57-417-7291,3,98.00
33-894-6676,3,83.99
64-569-9390,3,75.00
92-282-7155,3,220.00
74-346-3086,3,125.00
35-326-1148,3,93.13
11-244-2193,3,44.57
52-071-2704,3,225.00
22-401-7510,3,235.00
76-705-8000,3,101.60
22-904-5860,3,168.27
91-690-3480,3,83.99
07-113-3748,3,124.62
08-309-3649,3,210.00
98-889-5403,3,91.84
44-379-6825,3,125.00
12-128-2576,3,133.17
53-925-0103,3,235.00
26-281-8125,3,190.00
28-608-5137,3,44.57
55-676-1998,3,98.00
78-407-9810,3,52.08
09-229-1754,3,210.00
57-417-7291,3,83.99
70-424-5723,3,119.80
59-971-2896,3,190.00
01-423-8434,3,75.00
76-705-8000,3,235.00
31-340-1373,3,220.00
76-746-0202,3,98.00
24-502-2774,3,101.60
98-889-5403,3,320.00
12-128-2576,3,210.00
86-161-8508,3,225.00
00-799-3091,3,101.60
70-424-5723,3,98.00
61-622-8419,3,91.84
83-547-0450,3,133.17
01-423-8434,3,144.09
31-340-1373,3,101.60
40-192-8164,3,168.27
53-585-4586,3,124.62
16-609-1782,3,119.80
86-161-8508,3,133.17
67-009-1409,3,75.00
83-687-4769,3,220.00
40-192-8164,3,69.38
01-715-3869,3,91.84
53-585-4586,3,119.80
51-349-8226,3,133.17
29-587-2527,3,119.80
64-446-6092,3,220.00
92-795-7087,3,168.27
16-386-7757,3,225.00
78-352-3174,3,124.62
23-898-9055,3,75.00
46-892-9399,3,310.00
64-918-4744,3,220.00
74-302-4817,3,225.00
33-541-8718,3,44.57
22-001-6016,3,168.27
58-149-3499,3,124.62
27-600-6800,3,225.00
71-485-0830,3,52.08
82-422-7097,3,83.99
83-217-3894,3,168.27
18-136-6969,3,124.62
67-816-5527,3,235.00
70-365-1885,3,44.57
15-260-9895,3,320.00
19-156-3010,3,44.57
87-409-2090,3,210.00
36-816-5383,3,124.62
84-007-9095,3,52.08
70-276-7176,3,83.99
25-912-8989,3,52.08
61-841-5883,3,93.13
71-197-3844,3,83.99
96-173-6690,3,98.00
83-924-4913,3,44.57
22-867-9098,3,235.00
22-697-0930,3,144.09
53-068-3680,3,235.00
75-463-0491,3,101.60
13-018-1111,3,83.99
62-201-9287,3,320.00
52-152-3371,3,320.00
76-201-5085,3,210.00
86-227-8811,3,210.00
56-184-4508,3,133.17
59-380-4206,3,125.00
39-201-1204,3,69.38
21-039-2999,3,235.00
40-486-8511,3,98.00
29-546-8618,3,119.80
46-627-8981,3,98.00
45-033-9684,3,210.00
11-769-7584,3,144.09
90-317-7928,3,220.00
87-766-3663,3,144.09
28-376-6551,3,101.60
97-004-1775,3,310.00
29-773-5797,3,190.00
87-763-3059,3,225.00
19-768-2646,3,98.00
83-262-1365,3,133.17
61-533-3161,3,124.62
51-493-6866,3,69.38
31-121-8822,3,101.60
95-935-6126,3,119.80
45-436-6764,3,144.09
69-254-6693,3,101.60
63-555-6345,3,93.13
65-249-5260,3,44.57
80-720-7802,3,220.00
11-397-2150,3,91.84
74-603-8937,3,83.99
86-668-1105,3,310.00
07-322-4153,3,133.17
09-522-5385,3,133.17
05-024-1112,3,225.00
46-773-9492,3,69.38
40-168-4233,3,119.80
85-559-9663,3,119.80
23-824-2201,3,124.62
13-698-5271,3,125.00
64-141-5718,3,75.00
27-295-8802,3,235.00
35-427-7418,3,220.00
32-596-3017,3,220.00
02-211-2785,3,310.00
35-884-9148,3,225.00
78-214-6816,3,210.00
54-501-1389,3,225.00
49-368-5121,3,190.00
60-600-4172,3,124.62
12-718-1501,3,98.00
81-491-8325,3,124.62
25-093-8535,3,225.00
67-799-1881,3,93.13
34-061-0340,3,44.57
03-464-8128,3,101.60
88-109-8460,3,93.13
06-887-6332,3,168.27
19-281-5590,3,44.57
11-835-2932,3,124.62
45-780-6744,3,91.84
65-329-2436,3,83.99
75-714-6097,3,133.17
29-577-3059,3,83.99
92-610-5614,3,125.00
89-513-4206,3,44.57
43-918-0203,3,235.00
02-732-6800,3,125.00
09-058-1844,3,119.80
50-475-9958,3,235.00
82-589-4385,3,52.08
27-252-7456,3,210.00
79-638-3210,3,83.99
74-339-3540,3,75.00
80-984-7751,3,210.00
42-108-7287,3,190.00
90-122-2737,3,98.00
17-708-5350,3,220.00
56-195-4013,3,235.00
40-081-7496,3,190.00
54-413-3195,3,98.00
77-165-4390,3,101.60
33-894-6676,3,225.00
89-997-5952,3,320.00
98-148-9592,3,210.00
03-039-5845,3,91.84
47-940-7720,3,101.60
74-346-3086,3,168.27
31-955-7364,3,133.17
22-401-7510,3,124.62
40-708-8263,3,91.84
90-878-2657,3,98.00
19-798-0585,3,133.17
96-049-6957,3,119.80
35-326-1148,3,75.00
50-030-7130,3,119.80
11-244-2193,3,220.00
08-309-3649,3,44.57
65-919-0733,3,75.00
71-925-2450,3,220.00
91-690-3480,3,225.00
26-281-8125,3,52.08
38-478-1265,3,144.09
44-379-6825,3,168.27
62-086-4242,3,225.00
42-829-4772,3,101.60
53-925-0103,3,124.62
55-676-1998,3,83.99
73-375-8634,3,168.27
96-458-9557,3,124.62
73-455-3435,3,133.17
09-229-1754,3,44.57
24-502-2774,3,235.00
06-075-0174,3,44.57
22-501-9215,3,69.38
01-715-3869,3,320.00
51-349-8226,3,210.00
02-715-2965,3,52.08
53-401-6179,3,119.80
82-505-2050,3,83.99
59-971-2896,3,52.08
76-746-0202,3,83.99
29-587-2527,3,98.00
36-898-0004,3,235.00
31-593-0632,3,220.00
00-799-3091,3,235.00
23-898-9055,3,144.09
58-753-8307,3,320.00
88-367-5894,3,310.00
47-612-6340,3,210.00
97-219-4069,3,225.00
64-918-4744,3,101.60
37-675-7898,3,98.00
27-600-6800,3,133.17
61-622-8419,3,320.00
86-275-9654,3,124.62
83-547-0450,3,210.00
95-666-2867,3,144.09
24-934-3291,3,101.60
01-855-8188,3,93.13
28-341-5469,3,44.57
16-609-1782,3,98.00
67-009-1409,3,144.09
83-687-4769,3,101.60
24-314-4867,3,133.17
89-285-0567,3,83.99
65-262-1387,3,69.38
16-386-7757,3,133.17
69-817-7678,3,119.80
72-099-2457,3,125.00
08-483-5677,3,235.00
22-001-6016,3,69.38
22-130-4513,3,220.00
58-149-3499,3,119.80
21-104-5976,3,210.00
16-921-7992,3,310.00
24-678-5042,3,225.00
70-365-1885,3,220.00
91-163-7915,3,190.00
58-419-3322,3,98.00
84-007-9095,3,310.00
41-328-2835,3,124.62
70-276-7176,3,225.00
47-441-1628,3,101.60
37-273-5241,3,93.13
32-377-0706,3,44.57
22-867-9098,3,124.62
79-518-4381,3,83.99
62-201-9287,3,93.13
86-227-8811,3,44.57
77-827-0603,3,91.84
54-555-7832,3,133.17
46-627-8981,3,83.99
87-766-3663,3,125.00
75-883-4614,3,119.80
28-376-6551,3,235.00
14-376-2485,3,75.00
83-262-1365,3,210.00
58-251-6487,3,220.00
51-493-6866,3,190.00
95-935-6126,3,98.00
73-985-2542,3,225.00
80-720-7802,3,101.60
86-668-1105,3,91.84
05-024-1112,3,133.17
23-824-2201,3,119.80
54-322-1808,3,75.00
43-850-7830,3,220.00
17-264-8555,3,125.00
81-881-8993,3,235.00
43-634-6121,3,225.00
50-747-1156,3,168.27
29-600-4791,3,124.62
33-390-5032,3,210.00
80-349-3939,3,190.00
54-162-7684,3,98.00
23-427-8106,3,101.60
66-188-6911,3,91.84
82-410-4692,3,133.17
99-862-6759,3,44.57
90-359-2449,3,52.08
61-618-8783,3,119.80
23-153-9991,3,83.99
83-217-3894,3,69.38
18-136-6969,3,119.80
33-044-7954,3,75.00
19-189-3064,3,220.00
22-906-5872,3,235.00
19-156-3010,3,220.00
00-618-9205,3,225.00
40-476-8892,3,320.00
86-606-8047,3,210.00
25-912-8989,3,310.00
71-197-3844,3,225.00
66-525-3598,3,168.27
66-056-8690,3,124.62
44-969-2805,3,98.00
53-068-3680,3,124.62
38-295-3172,3,144.09
66-679-8766,3,101.60
25-177-6985,3,44.57
52-152-3371,3,93.13
76-201-5085,3,44.57
46-072-3557,3,133.17
24-139-0192,3,52.08
32-698-1958,3,83.99
40-486-8511,3,83.99
33-671-4773,3,69.38
38-694-5330,3,119.80
33-294-7116,3,235.00
11-769-7584,3,125.00
37-255-6435,3,235.00
49-961-9885,3,220.00
11-446-2659,3,210.00
37-656-4777,3,310.00
65-432-1983,3,225.00
93-409-8648,3,190.00
01-879-8004,3,124.62
53-504-3875,3,98.00
43-720-3267,3,93.13
60-009-2815,3,44.57
59-023-1187,3,101.60
30-032-8406,3,83.99
89-535-2329,3,125.00
10-141-0121,3,235.00
00-822-8333,3,210.00
69-562-1762,3,91.84
68-365-1512,3,133.17
72-306-1723,3,190.00
53-622-3155,3,98.00
67-382-6166,3,119.80
89-306-1133,3,75.00
51-287-9364,3,101.60
78-692-7008,3,220.00
09-481-5023,3,91.84
76-437-5698,3,133.17
40-429-8594,3,225.00
37-103-3005,3,168.27
76-763-0657,3,124.62
65-351-6434,3,320.00
36-917-2834,3,210.00
23-082-1065,3,44.57
98-115-7191,3,52.08
56-271-4185,3,98.00
43-566-9850,3,83.99
23-582-1221,3,144.09
61-057-1975,3,101.60
91-006-3876,3,235.00
84-707-3314,3,320.00
77-367-2436,3,119.80
05-410-4163,3,133.17
63-500-9286,3,210.00
30-205-9759,3,75.00
87-503-4703,3,220.00
26-231-8897,3,98.00
69-780-6998,3,69.38
45-989-0711,3,119.80
25-339-5566,3,144.09
65-485-7254,3,225.00
35-587-5940,3,101.60
56-331-9919,3,220.00
97-623-6572,3,168.27
80-258-5757,3,133.17
79-946-2742,3,124.62
00-465-7031,3,310.00
01-975-7149,3,225.00
30-790-3083,3,44.57
80-784-2924,3,69.38
12-371-9369,3,119.80
71-828-3556,3,52.08
51-420-8292,3,83.99
24-339-0545,3,220.00
55-619-8849,3,310.00
06-705-6026,3,225.00
80-890-3871,3,124.62
08-940-9111,3,93.13
41-597-5931,3,44.57
90-478-9446,3,83.99
27-774-9457,3,125.00
87-292-9640,3,235.00
09-923-6077,3,210.00
88-109-5070,3,190.00
46-796-5628,3,98.00
84-976-0893,3,101.60
72-823-6963,3,91.84
82-090-4450,3,133.17
11-997-6382,3,235.00
61-729-8958,3,320.00
75-786-1124,3,210.00
56-775-4607,3,98.00
26-461-5577,3,144.09
30-715-2573,3,101.60
61-501-5110,3,133.17
79-850-0887,3,69.38
31-302-3952,3,119.80
30-117-6174,3,220.00
68-391-0908,3,310.00
92-833-3271,3,119.80
61-097-0206,3,75.00
58-326-4792,3,220.00
86-161-8508,3,210.00
40-192-8164,3,190.00
53-585-4586,3,98.00
80-768-1365,3,225.00
64-446-6092,3,101.60
30-124-4774,3,168.27
61-509-9344,3,124.62
46-892-9399,3,91.84
74-302-4817,3,133.17
25-621-0618,3,44.57
36-816-5383,3,119.80
31-405-1090,3,52.08
47-102-5062,3,83.99
61-841-5883,3,75.00
83-924-4913,3,220.00
13-018-1111,3,225.00
21-743-3530,3,235.00
59-380-4206,3,168.27
21-039-2999,3,124.62
47-084-5361,3,320.00
30-601-0133,3,210.00
45-033-9684,3,44.57
98-646-1456,3,98.00
29-773-5797,3,52.08
19-768-2646,3,83.99
31-121-8822,3,235.00
52-152-3371,3,75.00
76-201-5085,3,220.00
11-397-2150,3,320.00
07-322-4153,3,210.00
40-486-8511,3,225.00
40-168-4233,3,98.00
11-769-7584,3,168.27
64-141-5718,3,144.09
37-255-6435,3,124.62
35-427-7418,3,101.60
11-446-2659,3,44.57
25-093-8535,3,133.17
93-409-8648,3,52.08
06-887-6332,3,69.38
53-504-3875,3,83.99
59-023-1187,3,235.00
69-562-1762,3,320.00
68-365-1512,3,210.00
67-382-6166,3,98.00
89-306-1133,3,144.09
78-692-7008,3,101.60
40-429-8594,3,133.17
11-835-2932,3,119.80
37-103-3005,3,69.38
76-763-0657,3,119.80
89-513-4206,3,220.00
23-082-1065,3,220.00
98-115-7191,3,310.00
82-589-4385,3,310.00
43-566-9850,3,225.00
79-638-3210,3,225.00
91-006-3876,3,124.62
56-195-4013,3,124.62
84-707-3314,3,93.13
63-500-9286,3,44.57
89-997-5952,3,93.13
98-148-9592,3,44.57
26-231-8897,3,83.99
25-339-5566,3,125.00
90-878-2657,3,83.99
35-587-5940,3,235.00
38-478-1265,3,125.00
42-829-4772,3,235.00
80-258-5757,3,210.00
80-784-2924,3,190.00
12-371-9369,3,98.00
73-455-3435,3,210.00
22-501-9215,3,190.00
53-401-6179,3,98.00
24-339-0545,3,101.60
31-593-0632,3,101.60
88-367-5894,3,91.84
97-219-4069,3,133.17
86-275-9654,3,119.80
01-855-8188,3,75.00
28-341-5469,3,220.00
89-285-0567,3,225.00
72-099-2457,3,168.27
87-939-7467,3,124.62
08-483-5677,3,124.62
35-988-0040,3,93.13
60-197-5739,3,44.57
21-104-5976,3,44.57
91-163-7915,3,52.08
29-601-2712,3,83.99
58-419-3322,3,83.99
47-441-1628,3,235.00
48-873-2607,3,125.00
77-827-0603,3,320.00
54-555-7832,3,210.00
46-671-2432,3,235.00
75-883-4614,3,98.00
87-546-5058,3,210.00
17-146-9681,3,190.00
14-376-2485,3,144.09
76-063-7709,3,98.00
58-251-6487,3,101.60
83-499-1350,3,101.60
73-985-2542,3,133.17
42-906-2475,3,91.84
90-989-2851,3,133.17
92-795-7087,3,69.38
78-352-3174,3,119.80
09-019-6593,3,119.80
55-263-8669,3,75.00
75-655-7346,3,220.00
33-541-8718,3,220.00
71-485-0830,3,310.00
82-422-7097,3,225.00
58-064-3049,3,225.00
56-933-2115,3,168.27
67-816-5527,3,124.62
14-210-2413,3,124.62
15-260-9895,3,93.13
87-409-2090,3,44.57
58-287-7773,3,44.57
40-107-4974,3,52.08
46-301-6761,3,83.99
69-624-5454,3,235.00
96-173-6690,3,83.99
22-697-0930,3,125.00
36-779-8330,3,320.00
75-463-0491,3,235.00
89-464-8624,3,210.00
55-734-7101,3,98.00
56-184-4508,3,210.00
39-201-1204,3,190.00
29-546-8618,3,98.00
64-569-9390,3,144.09
92-282-7155,3,101.60
90-317-7928,3,101.60
52-071-2704,3,133.17
97-004-1775,3,91.84
87-763-3059,3,133.17
22-904-5860,3,69.38
07-113-3748,3,119.80
61-533-3161,3,119.80
28-608-5137,3,220.00
63-555-6345,3,75.00
65-249-5260,3,220.00
78-407-9810,3,310.00
57-417-7291,3,225.00
76-705-8000,3,124.62
98-889-5403,3,93.13
12-128-2576,3,44.57
70-424-5723,3,83.99
01-423-8434,3,125.00
31-340-1373,3,235.00
80-720-7802,3,235.00
86-668-1105,3,320.00
05-024-1112,3,210.00
23-824-2201,3,98.00
54-322-1808,3,144.09
43-850-7830,3,101.60
43-634-6121,3,133.17
50-747-1156,3,69.38
29-600-4791,3,119.80
99-862-6759,3,220.00
90-359-2449,3,310.00
23-153-9991,3,225.00
22-906-5872,3,124.62
40-476-8892,3,93.13
86-606-8047,3,44.57
44-969-2805,3,83.99
38-295-3172,3,125.00
66-679-8766,3,235.00
46-072-3557,3,210.00
33-671-4773,3,190.00
38-694-5330,3,98.00
49-961-9885,3,101.60
37-656-4777,3,91.84
65-432-1983,3,133.17
01-879-8004,3,119.80
43-720-3267,3,75.00
60-009-2815,3,220.00
30-032-8406,3,225.00
89-535-2329,3,168.27
10-141-0121,3,124.62
00-822-8333,3,44.57
72-306-1723,3,52.08
55-619-8849,3,91.84
53-622-3155,3,83.99
51-287-9364,3,235.00
06-705-6026,3,133.17
09-481-5023,3,320.00
76-437-5698,3,210.00
80-890-3871,3,119.80
77-367-2436,3,98.00
08-940-9111,3,75.00
30-205-9759,3,144.09
41-597-5931,3,220.00
87-503-4703,3,101.60
90-478-9446,3,225.00
65-485-7254,3,133.17
27-774-9457,3,168.27
97-623-6572,3,69.38
87-292-9640,3,124.62
79-946-2742,3,119.80
09-923-6077,3,44.57
88-109-5070,3,52.08
30-790-3083,3,220.00
46-796-5628,3,83.99
71-828-3556,3,310.00
51-420-8292,3,225.00
84-976-0893,3,235.00
11-997-6382,3,124.62
72-823-6963,3,320.00
61-729-8958,3,93.13
82-090-4450,3,210.00
75-786-1124,3,44.57
92-833-3271,3,98.00
56-775-4607,3,83.99
61-097-0206,3,144.09
58-326-4792,3,101.60
26-461-5577,3,125.00
30-715-2573,3,235.00
80-768-1365,3,133.17
30-124-4774,3,69.38
61-509-9344,3,119.80
61-501-5110,3,210.00
25-621-0618,3,220.00
79-850-0887,3,190.00
31-302-3952,3,98.00
31-405-1090,3,310.00
30-117-6174,3,101.60
47-102-5062,3,225.00
68-391-0908,3,91.84
54-501-1389,3,133.17
21-743-3530,3,124.62
47-084-5361,3,93.13
30-601-0133,3,44.57
98-646-1456,3,83.99
45-436-6764,3,125.00
81-491-8325,3,119.80
88-109-8460,3,75.00
19-281-5590,3,220.00
29-577-3059,3,225.00
69-254-6693,3,235.00
02-732-6800,3,168.27
50-475-9958,3,124.62
09-522-5385,3,210.00
80-984-7751,3,44.57
46-773-9492,3,190.00
85-559-9663,3,98.00
40-081-7496,3,52.08
54-413-3195,3,83.99
47-940-7720,3,235.00
32-596-3017,3,101.60
02-211-2785,3,91.84
35-884-9148,3,133.17
40-708-8263,3,320.00
19-798-0585,3,210.00
60-600-4172,3,119.80
50-030-7130,3,98.00
67-799-1881,3,75.00
34-061-0340,3,220.00
65-919-0733,3,144.09
71-925-2450,3,101.60
65-329-2436,3,225.00
62-086-4242,3,133.17
92-610-5614,3,168.27
43-918-0203,3,124.62
73-375-8634,3,69.38
96-458-9557,3,119.80
27-252-7456,3,44.57
66-525-3598,3,69.38
66-056-8690,3,119.80
42-108-7287,3,52.08
90-122-2737,3,83.99
25-177-6985,3,220.00
77-165-4390,3,235.00
03-039-5845,3,320.00
24-139-0192,3,310.00
31-955-7364,3,210.00
32-698-1958,3,225.00
33-294-7116,3,124.62
96-049-6957,3,98.00
65-351-6434,3,93.13
36-917-2834,3,44.57
35-326-1148,3,144.09
11-244-2193,3,101.60
56-271-4185,3,83.99
91-690-3480,3,133.17
23-582-1221,3,125.00
61-057-1975,3,235.00
44-379-6825,3,69.38
53-925-0103,3,119.80
05-410-4163,3,210.00
69-780-6998,3,190.00
09-229-1754,3,220.00
45-989-0711,3,98.00
59-971-2896,3,310.00
76-746-0202,3,225.00
56-331-9919,3,101.60
00-465-7031,3,91.84
01-975-7149,3,133.17
87-939-7467,3,119.80
35-988-0040,3,75.00
60-197-5739,3,220.00
29-601-2712,3,225.00
00-799-3091,3,124.62
48-873-2607,3,168.27
46-671-2432,3,124.62
61-622-8419,3,93.13
83-547-0450,3,44.57
87-546-5058,3,44.57
16-609-1782,3,83.99
17-146-9681,3,52.08
67-009-1409,3,125.00
76-063-7709,3,83.99
83-687-4769,3,235.00
83-499-1350,3,235.00
42-906-2475,3,320.00
90-989-2851,3,210.00
16-386-7757,3,210.00
09-019-6593,3,98.00
22-001-6016,3,190.00
